Week,Author,Title,Price,ISBN,Rank,Category
3,Michael Wolff,Fire and Fury: Inside the Trump White House,30.0,9781250158062.0,1,Hardcover Nonfiction
3,Neil deGrasse Tyson,Astrophysics for People in a Hurry,18.95,9780393609394.0,2,Hardcover Nonfiction
3,Mark Manson,The Subtle Art of Not Giving A F*ck,24.99,9780062457714.0,3,Hardcover Nonfiction
3,Walter Isaacson,Leonardo da Vinci,35.0,9781501139154.0,4,Hardcover Nonfiction
3,Tiffany Haddish,The Last Black Unicorn,26.0,9781501181825.0,5,Hardcover Nonfiction
3,Mary Beard,Women & Power,15.95,9781631494758.0,6,Hardcover Nonfiction
3,Ron Chernow,Grant,40.0,9781594204876.0,7,Hardcover Nonfiction
3,Joe Biden,"Promise Me, Dad",27.0,9781250171672.0,8,Hardcover Nonfiction
3,Ray Dalio,Principles: Life and Work,30.0,9781501124020.0,9,Hardcover Nonfiction
3,J.D. Vance,Hillbilly Elegy,27.99,9780062300546.0,10,Hardcover Nonfiction
3,The Dalai Lama,The Book of Joy,26.0,9780399185045.0,11,Hardcover Nonfiction
3,Brene Brown,Braving the Wilderness,28.0,9780812995848.0,12,Hardcover Nonfiction
3,Daniel H. Pink,When: The Scientific Secrets of Perfect Timing- Debut,28.0,9780735210622.0,13,Hardcover Nonfiction
3,David Grann,Killers of the Flower Moon,28.95,9780385534246.0,14,Hardcover Nonfiction
3,Ta-Nehisi Coates,We Were Eight Years in Power,28.0,9780399590566.0,15,Hardcover Nonfiction
3,Lee Child,No Middle Name,9.99,9780399593598.0,1,Mass Market
3,Michael Crichton,Dragon Teeth,9.99,9780062473363.0,2,Mass Market
3,John Grisham,The Whistler,9.99,9781101967683.0,3,Mass Market
3,James Patterson,Never Never,9.99,9781478944782.0,4,Mass Market
3,Doug Stanton,12 Strong,9.99,9781501179952.0,5,Mass Market
3,Liane Moriarty,The Husband's Secret,9.99,9780451490049.0,6,Mass Market
3,Steve Berry,The Lost Order- Debut,9.99,9781250058461.0,7,Mass Market
3,Liane Moriarty,What Alice Forgot,9.99,9780451490445.0,8,Mass Market
3,Agatha Christie,Murder on the Orient Express,9.99,9780062693662.0,9,Mass Market
3,Nicholas Sparks,Safe Haven,8.99,9781478948377.0,10,Mass Market
3,Min Jin Lee,Pachinko,15.99,9781455563920.0,1,Trade Paperback Fiction
3,Jessica Shattuck,The Women in the Castle,16.99,9780062563675.0,2,Trade Paperback Fiction
3,Margaret Atwood,The Handmaid's Tale,15.95,9780525435006.0,3,Trade Paperback Fiction
3,Anthony Doerr,All the Light We Cannot See,17.0,9781501173219.0,4,Trade Paperback Fiction
3,Ruth Ware,The Woman in Cabin 10,16.0,9781501132957.0,5,Trade Paperback Fiction
3,Rupi Kaur,The Sun and Her Flowers,16.99,9781449486792.0,6,Trade Paperback Fiction
3,Rupi Kaur,Milk and Honey,14.99,9781449474256.0,7,Trade Paperback Fiction
3,Ernest Cline,Ready Player One,16.0,9780307887443.0,8,Trade Paperback Fiction
3,Georgia Hunter,We Were the Lucky Ones,16.0,9780399563096.0,9,Trade Paperback Fiction
3,Shari Lapena,The Couple Next Door,16.0,9780735221109.0,10,Trade Paperback Fiction
3,Martha Hall Kelly,Lilac Girls,17.0,9781101883082.0,11,Trade Paperback Fiction
3,Paulette Jiles,News of the World,15.99,9780062409218.0,12,Trade Paperback Fiction
3,Peter Heller,Celine- Debut,16.0,9781101973486.0,13,Trade Paperback Fiction
3,Andre Aciman,Call Me by Your Name- Debut,17.0,9781250169440.0,14,Trade Paperback Fiction
3,B.A. Paris,Behind Closed Doors,16.99,9781250132369.0,15,Trade Paperback Fiction
3,Jen Sincero,You Are a Badass,16.0,9780762447695.0,1,Trade Paperback Nonfiction
3,Peter Frankopan,The Silk Roads,20.0,9781101912379.0,2,Trade Paperback Nonfiction
3,Douglas Preston,The Lost City of the Monkey God,15.99,9781455540013.0,3,Trade Paperback Nonfiction
3,Atul Gawande,Being Mortal,16.0,9781250076229.0,4,Trade Paperback Nonfiction
3,Doug Stanton,12 Strong,18.0,9781501178511.0,5,Trade Paperback Nonfiction
3,Jonah Berger,Invisible Influence,16.0,9781476759739.0,6,Trade Paperback Nonfiction
3,Timothy Snyder,On Tyranny,7.99,9780804190114.0,7,Trade Paperback Nonfiction
3,Matthew Desmond,Evicted,17.0,9780553447453.0,8,Trade Paperback Nonfiction
3,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,24.95,9781633690196.0,9,Trade Paperback Nonfiction
3,Alexandra Horowitz,Being a Dog,17.0,9781476796024.0,10,Trade Paperback Nonfiction
3,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,24.95,9781422157992.0,11,Trade Paperback Nonfiction
3,Michael Lewis,The Undoing Project,16.95,9780393354775.0,12,Trade Paperback Nonfiction
3,Joan Didion,South and West: From a Notebook- Debut,15.0,9780525434191.0,13,Trade Paperback Nonfiction
3,Sy Montgomery,The Soul of an Octopus,16.0,9781451697728.0,14,Trade Paperback Nonfiction
3,Robert Moor,On Trails,16.0,9781476739236.0,15,Trade Paperback Nonfiction
3,John Green,Turtles All the Way Down,19.99,9780525555360.0,1,Young Adult
3,Angie Thomas,The Hate U Give,17.99,9780062498533.0,2,Young Adult
3,Philip Pullman,The Book of Dust: La Belle Sauvage,22.99,9780375815300.0,3,Young Adult
3,Holly Black,The Cruel Prince,18.99,9780316310277.0,4,Young Adult
3,Nicola Yoon,"Everything, Everything (An Indies Introduce Title)",10.99,9781524769604.0,5,Young Adult
3,Marissa Meyer,Renegades,19.99,9781250044662.0,6,Young Adult
3,John Green,Looking for Alaska,19.99,9780525428022.0,7,Young Adult
